Location_ID,Mapped_Drain_Present,Nearest_Drain_Distance_m,Drain_Name,Drain_Type,Dr_Line_ID,AssetID,FID,Drain_Size_mm,Drain_Status,Drain_Remark,MCG_Drainage_Issue,Drainage_Condition,Drainage_Adequacy,Drain_Source,Data_Quality
H01,1,67,Master Sewer line,Master Sewer line,131,597,122,600,Work Completed,,Silt in drain,Silted,Present,GMDA + MCG,Official GIS + official MCG hotspot record
H02,1,27.3,Master Sewer line,Master Sewer line,132,598,123,2440*1375,Work Completed,,Silt in drain,Silted,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H03,1,133.5,Master Sewer line,Master Sewer line,48,515,42,2400*1800,Work Completed,,Low-lying area,Unknown,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H04,1,642.5,Master Sewer line,Master Sewer line,48,515,42,2400*1800,Work Completed,,Low-lying area,Unknown,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H05,1,128.7,Master Sewer line,Master Sewer line,48,515,42,2400*1800,Work Completed,,Low-lying area / adjoining area,Unknown,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H06,1,89.7,Master Sewer line,Master Sewer line,39,507,34,1000,Work Completed,,Low-lying area,Unknown,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H07,1,379.7,Master Sewer line,Master Sewer line,41,509,36,1000,Work Completed,,Low-lying area,Unknown,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H08,1,411.3,Master Sewer line,Master Sewer line,159,625,147,4500*2420,Work Completed,,Low-lying area,Unknown,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H09,1,630.4,Master Sewer line,Master Sewer line,41,509,36,1000,Work Completed,,Storm drainage cleaning required,Requires cleaning,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H10,1,67.4,Master Sewer line,Master Sewer line,269,1730,235,1000,Work Completed,,Overflow of main GMDA line,Overflow issue reported,Unknown,GMDA Master Storm Water Drain Network + MCG hotspot record,Official GIS + MCG; distance calculated from line geometry
H11,1,480.6,Master Sewer line,Master Sewer line,139,605,129,1500*1200,Work Completed,,Unknown,Unknown,Unknown,GMDA Master Storm Water Drain Network,Official GIS / nearest mapped feature
