ID,Location,Latitude,Longitude,Elevation,MCG hotspot listed,Verification source
C01,"Sector 29 Market area, Gurugram",28.4684,77.0624,232,No,GMDA Flood Survey
C02,"Golf Course Road, Sector 53",28.439,77.1028,253,No,GMDA Flood Survey
C03,"Golf Course Road, Sector 54 / Business Tower area",28.434,77.105,251,No,GMDA Flood Survey
C04,"Ullawas Village, Gurugram",28.405,77.102,245,No,GMDA Flood Survey
C05,"Sector 37D, Gurugram",28.436,76.961,216,No,GMDA Flood Survey
C06,"Sector 29 / Shakti Travels area, Gurugram",28.477,77.069,236,No,GMDA Flood Survey
C07,"DLF Cyber City, Phase 3 / DLF Tower 10 Road",28.495,77.09,242,No,GMDA Flood Survey
C08,"1601 Golf Course Road, DLF Phase 5, Sector 43",28.4552729,77.090337,247,No,GMDA Flood Survey
C09,"Genpact Chowk, DLF Phase 5, Sector 53",28.449243,77.099037,248,No,GMDA Flood Survey
C10,"Leisure Valley Park, Gurugram",28.4692,77.06609,234,No,GMDA Flood Survey
C11,"Sector 52, Gurugram",28.43682,77.07953,236,No,GMDA Flood Survey
C12,"Sector 61, Gurugram",28.41102,77.09637,233,No,GMDA Flood Survey
C13,"Sector 62, Gurugram",28.4077,77.08238,232,No,GMDA Flood Survey
C14,"Sector 63, Gurugram",28.39645,77.0865,237,No,GMDA Flood Survey
C15,"Sector 64, Gurugram",28.39146,77.0762,233,No,GMDA Flood Survey
C16,"Sector 66, Gurugram",28.39743,77.05388,226,No,GMDA Flood Survey
C17,"Sector 67, Gurugram",28.38641,77.05981,225,No,GMDA Flood Survey
C18,"Sector 69, Gurugram",28.39607,77.03723,226,No,GMDA Flood Survey
C19,"Sector 71, Gurugram",28.40646,77.02331,225,No,GMDA Flood Survey
C20,"Sector 72, Gurugram",28.41593,77.02908,227,No,GMDA Flood Survey
