ID,Location,Road type / nearest relevant road
1,Sector 10A Market,Local / market access road
2,Sector 10A Gate 5,Local / access road
3,Sector 15 Part II,Local / residential road
4,"Bandh Road, Sec 15-II",Bandh Road / local road
5,"Jubilee Park, Sec 31",Local / park access road
6,Sector 46,Local / internal road
7,Sector 57,Local / internal road
8,Ghata Underpass,Underpass / local access road
9,Sector 57 Part 1,Local / internal road
10,Silokhera Village Road,Silokhera Village Road
11,Near Budwala Booster,Local / access road
12,Nathupur near Harijan Basti,Local / access road
13,Sikanderpur entry from Bristol Chowk,Bristol Chowk–Sikanderpur approach road
14,Sarhol mod sector -18 T point,Service lane / Sarhol Mod approach
15,Indian oil service road sector 18,Service road / Sector 17–18 link
16,In front of H.no-1128 sector 21,Local / residential road
17,Near radha krishna mandir h.no-335 sector 21,Sector 21 Road / Radha Krishna Mandir Road
18,Near Delhi gate pocket C sector 21,Local / access road
19,In fornt of community centre sector 22 B,Sector 22B Road
20,A block Plam vihar near Macdy,Palam Vihar Road / local road
1,"Sector 29 Market area, Gurugram",Local / market access road
2,"Golf Course Road, Sector 53",Golf Course Road
3,"Golf Course Road, Sector 54 / Business Tower area",Golf Course Road
4,"Ullawas Village, Gurugram",Local / village road
5,"Sector 37D, Gurugram",Local / internal road
6,"Sector 29 / Shakti Travels area, Gurugram",Local / access road
7,"DLF Cyber City, Phase 3 / DLF Tower 10 Road",DLF Cyber City access road
8,"1601 Golf Course Road, DLF Phase 5, Sector 43",Golf Course Road
9,"Genpact Chowk, DLF Phase 5, Sector 53",Golf Course Road / chowk approach
10,"Leisure Valley Park, Gurugram",Local / park access road
11,"Sector 52, Gurugram",Local / internal road
12,"Sector 61, Gurugram",Local / internal road
13,"Sector 62, Gurugram",Local / internal road
14,"Sector 63, Gurugram",Local / internal road
15,"Sector 64, Gurugram",Local / internal road
16,"Sector 66, Gurugram",Local / internal road
17,"Sector 67, Gurugram",Local / internal road
18,"Sector 69, Gurugram",Local / internal road
19,"Sector 71, Gurugram",Local / internal road
20,"Sector 72, Gurugram",Local / internal road
