Location_ID,Watershed_ID,Distance_to_Watershed_Boundary_m,Natural_Flow_FID,Natural_Flow_Stream_ID,Natural_Flow_Elevation,Natural_Flow_In_Flow,Natural_Flow_Out_Flow,Drain_Area,Nearest_Natural_Flow_Distance_m,Watershed_Source,Data_Quality
H01,8,235.5,895,1269,0,111,576,0.841 sq km,151.9,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H02,8,242.2,895,1269,0,111,576,0.841 sq km,41.6,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H03,10,1896.4,757,1038,0,100,185,0.2702 sq km,432.0,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H04,10,1535.8,590,805,0,387,540,0.789 sq km,70.3,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H05,10,2218.9,757,1038,0,100,185,0.2702 sq km,153.8,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H06,10,530.4,1024,1464,224,156,311,0.4543 sq km,331.7,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H07,9,645.5,1323,1901,0,100,492,0.719 sq km,271.8,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H08,10,226.7,1274,1816,0,102,302,0.4411 sq km,28.2,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H09,9,295.9,1323,1901,0,100,492,0.719 sq km,148.1,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H10,10,2592.1,628,851,0,129,224,0.3272 sq km,350.1,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H11,10,1321.1,205,239,0,325,606,0.885 sq km,82.6,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H12,10,1245.5,394,496,0,832,986,1.44 sq km,166.7,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H13,10,1748.6,377,472,238,102,169,0.2469 sq km,65.5,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H14,10,2179.2,201,235,0,633,997,1.456 sq km,244.9,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
H15,10,3435.4,355,445,0,148,206,0.3009 sq km,74.3,GMDA flood_survey_2 (Watershed_Gurugram + Natural_Flow_Direction),Official GMDA GIS; nearest-flow and boundary distances calculated from returned geometry
