Location_ID,Location,Latitude,Longitude
H01,"Sector 10A Market, Gate 7",28.43887,77.005661
H02,"Sector 10A, Gate 5",28.444206,76.99975
H03,"Sector 15 Part II, Citizen Park",28.454574,77.042674
H04,"Bandh Road, Sector 15 Part II",28.460984,77.042014
H05,"Jubilee Park, Sector 31",28.453822,77.045449
H06,Sector 46,28.434887,77.064065
H07,Sector 57,28.417193,77.074298
H08,Village Ghata Underpass,28.42204,77.1096
H09,Sector 57 Part 1,28.420603,77.074107
H10,Silokhera Village Road,28.458293,77.060052
H11,Near Budwala Booster,28.488572,77.102205
H12,Nathupur near Harijan Basti,28.48003,77.099612
H13,Sikanderpur entry from Bristol Chowk,28.479154,77.094202
H14,Sarhol mod sector -18 T point,28.492295,77.058738
H15,Indian oil service road sector 18,28.481765,77.072026
H16,In front of H.no-1128 sector 21,28.501758,77.067002
H17,Near radha krishna mandir h.no-335 sector 21,28.512149,77.067662
H18,Near Delhi gate pocket C sector 21,28.50193,77.061334
H19,In fornt of community centre sector 22 B,28.508526,77.066475
H20,A block Plam vihar near Macdy,28.504993,77.03767
C01,"Sector 29 Market area, Gurugram",28.4684,77.0624
C02,"Golf Course Road, Sector 53",28.439,77.1028
C03,"Golf Course Road, Sector 54 / Business Tower area",28.434,77.105
C04,"Ullawas Village, Gurugram",28.405,77.102
C05,"Sector 37D, Gurugram",28.436,76.961
C06,"Sector 29 / Shakti Travels area, Gurugram",28.477,77.069
C07,"DLF Cyber City, Phase 3 / DLF Tower 10 Road",28.495,77.09
C08,"1601 Golf Course Road, DLF Phase 5, Sector 43",28.4552729,77.090337
C09,"Genpact Chowk, DLF Phase 5, Sector 53",28.449243,77.099037
C10,"Leisure Valley Park, Gurugram",28.4692,77.06609
C11,"Sector 52, Gurugram",28.43682,77.07953
C12,"Sector 61, Gurugram",28.41102,77.09637
C13,"Sector 62, Gurugram",28.4077,77.08238
C14,"Sector 63, Gurugram",28.39645,77.0865
C15,"Sector 64, Gurugram",28.39146,77.0762
C16,"Sector 66, Gurugram",28.39743,77.05388
C17,"Sector 67, Gurugram",28.38641,77.05981
C18,"Sector 69, Gurugram",28.39607,77.03723
C19,"Sector 71, Gurugram",28.40646,77.02331
C20,"Sector 72, Gurugram",28.41593,77.02908
